P	k=6,s<3	k=6,s<2	k=6,s<1	k=7,s<3	k=7,s<2	k=7,s<1	k=8,s<3	k=8,s<2	k=8,s<1
0	158	32588	596662	238194	614677	823061	697795	774170	863493
1	830	80233	184372	253695	144456	64793	97903	77302	43466
2	3151	155577	61565	157269	54497	24099	48014	32503	14911
3	10384	200513	34775	86505	34221	11329	31422	17996	7782
4	30147	161553	24224	54496	25534	6671	18920	10331	4907
5	75580	103622	16530	42537	20246	4751	11288	6708	3456
6	165938	65257	10336	35904	15649	3694	8205	5521	2591
7	208211	43619	6081	26938	10389	2675	6535	4349	2100
8	165646	33200	4221	16192	6997	2176	5233	3662	1747
9	113043	24582	3050	9381	5042	2190	4210	3400	1788
10	76269	17746	3121	6685	4576	2554	4120	3467	2285
11	46844	12465	3636	6533	5099	3093	4938	4496	2756
12	26777	10459	4482	8758	7353	3321	7972	6372	2309
13	18004	8604	1164	8276	4768	449	5666	2873	181
14	7243	2630	226	2026	885	95	927	417	40
15	3894	1275	107	1051	402	31	459	180	7
16	1655	432	33	345	113	14	124	47	15
17	460	126	23	99	57	18	57	21	5
18	207	88	5	84	36	0	37	18	0
19	127	36	0	40	16	0	9	1	0
20	38	4	0	4	1	0	0	5	1
21	3	4	0	1	0	0	5	1	0
22	4	0	0	1	0	0	1	0	0
23	0	0	0	0	0	0	0	0	0
