P	k=6,s<3	k=6,s<2	k=6,s<1	k=7,s<3	k=7,s<2	k=7,s<1	k=8,s<3	k=8,s<2	k=8,s<1
0	170	32830	596771	239064	614290	822895	696892	773566	863349
1	890	81028	183556	253538	145064	64764	98185	78025	43845
2	3211	155847	61262	157150	54308	23996	48332	32421	14902
3	10539	200631	34547	86333	34147	11327	31664	17909	7746
4	30381	160655	23995	54718	25562	6749	18960	10337	4882
5	76784	102515	16591	42127	20490	4836	11370	6833	3615
6	165438	65070	10270	35965	15339	3701	8179	5442	2616
7	208034	43477	6158	26542	10574	2605	6517	4492	1989
8	164932	32732	4131	16222	6842	2130	5320	3764	1755
9	112565	24625	3096	9378	5002	2042	4270	3351	1752
10	75391	17845	3183	6747	4551	2528	4167	3427	2215
11	46646	12079	3721	6410	4934	3151	4901	4368	2763
12	26580	10860	4465	8675	7308	3111	7912	6463	2377
13	17975	8507	1125	7890	4524	417	5692	2970	170
14	7477	2575	251	2054	855	109	995	413	38
15	3766	1259	99	1028	399	38	470	161	18
16	1673	492	28	351	142	14	111	55	10
17	451	129	30	107	51	13	56	32	4
18	216	79	3	86	35	1	44	16	0
19	111	38	0	40	10	0	8	1	0
20	44	3	0	2	0	1	1	0	1
21	1	6	0	0	0	0	0	1	0
22	7	0	0	1	1	0	1	0	0
23	0	0	0	0	0	0	0	0	0
